Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Software Engineer,Roadz ,204062,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'ArtificialIntelligence(AI)', 'DataModeling', 'LargeLanguageModels(LLM)', 'NaturalLanguageProcessing(NLP)', 'Python(ProgrammingLanguage)']",11-50 employees,," Palo Alto, CA",6 days ago
Software Engineer,Amazon ,34486,Full-time,On-site,"['AmazonWebServices(AWS)', 'C#', 'CodeReview', 'CodingSt', 'ards', 'Java', 'JavaScript', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)']","10,001+ employees ", Software Development," Dallas, TX Reposted  2 weeks ago",2 weeks ago
Software Engineer,Revature ,57068,Full-time,On-site,"['AngularJS', 'C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'HTML', 'Java', 'JavaScript', 'Node.js', 'React.js']","1,001-5,000 employees ", IT Services and IT Consulting," Oakland Park, FL",6 days ago
Software Engineer intern,Professional Diversity Network ,38263,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Communication', 'CriticalThinking', 'DefiningRequirements', 'QualityReviews', 'TechnicalRequirements']",51-200 employees , Staffing and Recruiting," Richardson, TX",13 hours ago
Software Engineer,Understanding Recruitment ,193969,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Blockchain', 'DockerProducts', 'FinTech', 'Finance', 'GraphQL', 'JavaScript', 'Node.js', 'React.js', 'TypeScript']",51-200 employees , Staffing and Recruiting, New York City Metropolitan Area,3 weeks ago
Software Engineer,Alibaba Group ,104821,Full-time,On-site,"['Algorithms', 'ArtificialIntelligence(AI)', 'Compensation', 'ComputerScience', 'DistributedTraining', 'MachineLearning', 'MachineTools', 'ModelTraining', 'Self-Motivation', 'Troubleshooting']","10,001+ employees ", Software Development," Sunnyvale, CA",6 days ago
Software Engineer,Bosch USA ,284470,Full-time,Hybrid,"['ApplicationSecurity', 'ComputerScience', 'Cryptography', 'Cybersecurity', 'Identity', 'AccessManagement(IAM)', 'NetworkSecurity', 'PenetrationTesting', 'RedHatLinux', 'SkillDevelopment', 'SystemAdministration']","10,001+ employees ", Software Development," Watertown, MA",6 days ago
Software Engineer intern,Garmin ,135471,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'DataStructures', 'Debuggers', 'Garmin', 'Java', 'Methodology', 'ObjectOrientedDesign', 'Object-OrientedProgramming(OOP)']","10,001+ employees ", Consumer Electronics," Yarmouth, ME Reposted  5 days ago",5 days ago
Software Engineer intern,Datadog ,50000,Full-time,Hybrid,"['Engineering', 'SoftwareDevelopment', 'SoftwareasaService(SaaS)']","1,001-5,000 employees ", Software Development," Boston, MA",1 month ago
Software Engineer intern,Cadence Design Systems ,34933,Full-time,Hybrid,"['ComputerArchitecture', 'ComputerEngineering', 'ComputerVision', 'Demonstration', 'EmbeddedSystems', 'Field-ProgrammableGateArrays(FPGA)', 'ImageProcessing', 'MachineTools', 'NeuralNetworks', 'PatternRecognition']","5,001-10,000 employees ", Software Development," San Jose, CA",1 day ago
Software Engineer,Prodigy Resources ,115000,Full-time,Hybrid,[],11-50 employees , Staffing and Recruiting," Denver, CO",1 week ago
Data Engineer,NationsBenefits ,76893,Full-time,On-site,"['DataEngineering', 'DataModeling', 'DataModels', 'DataVisualization', 'DataWarehousing', 'ETLTools', 'Extract', 'Transform', 'Load(ETL)']","1,001-5,000 employees ", Government Administration," Plantation, FL",6 days ago
Software Engineer,Accentuate Staffing ,359853,Full-time,On-site,"['Bitbucket', 'C#', 'C++', 'ComputerScience', 'DataStructures', 'Java', 'JavaScript', 'NetworkProgramming', 'Python(ProgrammingLanguage)', 'VersionControl']",11-50 employees , Staffing and Recruiting," Raleigh, NC",6 days ago
Software Engineer,Apple ,173600,Full-time,On-site,"['C++', 'Compensation', 'ContinuousIntegration(CI)', 'DataModeling', 'DefiningRequirements', 'MobilePayments', 'Modeling', 'ProductService', 'SystemPerformance', 'TestAutomation']","10,001+ employees ", Computers and Electronics Manufacturing," New York, NY Reposted  1 week ago",1 week ago
