Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Senior Software Engineer,Understanding Recruitment ,,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Blockchain', 'DockerProducts', 'FinTech', 'Finance', 'GraphQL', 'JavaScript', 'Node.js', 'React.js', 'TypeScript']",51-200 employees , Staffing and Recruiting, New York City Metropolitan Area,3 weeks ago
Software Engineer Intern - Web/DevOps Development,Garmin ,,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'DataStructures', 'Debuggers', 'Garmin', 'Java', 'Methodology', 'ObjectOrientedDesign', 'Object-OrientedProgramming(OOP)']","10,001+ employees ", Consumer Electronics," Olathe, KS Reposted  2 weeks ago",2 weeks ago
Software Engineer Co-op,Thomson Reuters ,,Full-time,Remote,"['Algorithms', 'Communication', 'ComputerScience', 'CriticalThinking', 'QualityAssurance', 'SkillDevelopment', 'SoftwareDevelopment', 'Stack', 'UserInterfaceDesign', 'XML']","10,001+ employees ", Software Development," Rochester, NY",5 hours ago
"MTS 1, Software Engineer",eBay ,"$135,200/yr - $205,700/yr (from job description) ",Full-time,Hybrid,"['Algorithms', 'Communication', 'ConstructiveFeedback', 'DataStructures', 'DatabaseSystems', 'Optimization', 'ProblemSolving', 'RequirementsGathering', 'SoftwareDevelopment', 'TechnicalSpecs']","10,001+ employees "," Technology, Information and Internet"," San Jose, CA",2 weeks ago
"Java J2EE Developer (API/Kafka)- onsite Omaha, NE",Ender-IT ,,Full-time,On-site,"['AmazonEC2', 'ApacheKafka', 'CloudComputing', 'ComputerScience', 'FrameworkDesign', 'Java', 'RESTAPIs', 'SnowflakeCloud', 'SoftwareDevelopmentLifeCycle(SDLC)', 'SpringFramework']",11-50 employees , IT Services and IT Consulting," Omaha, NE",3 hours ago
Back End Developer,IBM ,"$122,000/yr - $285,600/yr ",Full-time,On-site,"['APIDevelopment', 'Annotation', 'CascadingStyleSheets(CSS)', 'ComputerScience', 'D3.js', 'JavaScript', 'QualityAssurance', 'React.js', 'WebApplications', 'npm']","10,001+ employees ", IT Services and IT Consulting," San Jose, CA Reposted  5 days ago",5 days ago
Staff Software Engineer Chat Voice Bot,Walmart ,,Full-time,Hybrid,"['AnalyticalSkills', 'Angular', 'Communication', 'ComputerScience', 'DataStructures', 'GoogleCloudPlatform(GCP)', 'Java', 'MicrosoftAzure', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Retail," Dallas, TX",6 days ago
2024 Summer Intern: Software Engineer,Spectrum ,,Full-time,On-site,"['JavaScript', 'ProblemSolving', 'Programmes', 'Programming', 'ProgrammingLanguages', 'SQL', 'SoftwareDevelopmentLifeCycle(SDLC)', 'TechnicalDesign']","10,001+ employees ", Telecommunications," St Louis, MO Reposted  4 days ago",4 days ago
Software Engineering Intern - Spring 2024,Lockheed Martin ,"$20,904/yr - $67,288/yr (from job description) ",Full-time,Remote,"['Python(ProgrammingLanguage)', 'SoftwareDevelopment', 'SoftwareDevelopmentMethodologies']","10,001+ employees ", Defense and Space Manufacturing," Owego, NY",2 days ago
Software Engineer,JPMorgan Chase & Co. ,,Full-time,On-site,"['BusinessRequirements', 'Cucumber', 'DefiningRequirements', 'DesignSpecifications', 'Documentation', 'Microservices', 'PerformanceTesting', 'ProjectPlanning', 'SoftwareDevelopment', 'TechnicalRequirements']","10,001+ employees ", Financial Services," Plano, TX Reposted  1 day ago",1 day ago
"Software Engineer: Internship Opportunities for University Students, Minneapolis",Microsoft ,"$10,120/yr - $11,030/yr (from job description) ",Full-time,Hybrid,"['Algorithms', 'ComputerScience', 'DataStructures', 'DefiningRequirements', 'ProductRequirements', 'Programming', 'SchoolSystems', 'SoftwareProjects', 'WellCompletion', 'XML']","10,001+ employees ", Software Development," Minneapolis, MN",1 week ago
Software Developer Intern USA,AVEVA ,"$36,000/yr - $110,000/yr (from job description) ",Full-time,Remote,"['ComputerEngineering', 'ComputerScience', 'Debugging', 'ProblemSolving']","5,001-10,000 employees ", Software Development," Houston, TX",4 days ago
Software Engineer,Broadcom ,"$78,000/yr - $130,000/yr (from job description) ",Full-time,On-site,"['CLIST', 'COBOL', 'Debugging', 'ISPF', 'JobControlLanguage(JCL)', 'JobSkills', 'Originality', 'ProblemSolving', 'ProjectLeadership', 'REXX']","10,001+ employees ", Semiconductor Manufacturing," Plano, TX",6 days ago
Algorithm Developer,Lumicity ,,Full-time,On-site,"['C++', 'ComputerVision', 'DeepLearning', 'ImageProcessing', 'MATLAB', 'MachineLearning', 'OpenCV', 'PyTorch', 'Python(ProgrammingLanguage)', 'TensorFlow']",51-200 employees , Staffing and Recruiting," Orange County, CA",6 days ago
Power BI Developer – 122564,ProSearch ,,Full-time,Remote,"['BusinessAnalytics', 'BusinessIntelligence(BI)', 'DAX', 'Dashboards', 'DataModeling', 'DataModels', 'MicrosoftPowerBI', 'SecurityCompliance', 'SecurityImplementation', 'UserDocumentation']",201-500 employees , Staffing and Recruiting," Portland, ME",1 week ago
Software Engineer,Tyler Technologies ,,Full-time,On-site,"['AmazonWebServices(AWS)', 'C#', 'SQL']","5,001-10,000 employees ", Software Development," College Station, TX",5 days ago
Java Fullstack Developer,Iris Software Inc. ,,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Angular', 'AngularMaterial', 'Full-StackDevelopment', 'Java', 'Microservices', 'Object-OrientedProgramming(OOP)', 'Python(ProgrammingLanguage)', 'SoftwareDesign', 'SoftwareDevelopmentLifeCycle(SDLC)']","1,001-5,000 employees ", IT Services and IT Consulting," Newark, NJ",6 days ago
CPS/FVS Social Service Specialist 2-3 (SSS3) - Kent/King SE,"WA Department of Children, Youth, and Families ","$52,620/yr - $84,192/yr ",Full-time,On-site,"['ChildProtectiveServices', 'ChildWelfare', 'SocialServices']","1,001-5,000 employees",," Kent, WA",6 days ago
Lead Artificial Intelligence Engineer,Roadz ,,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'ArtificialIntelligence(AI)', 'DataModeling', 'LargeLanguageModels(LLM)', 'NaturalLanguageProcessing(NLP)', 'Python(ProgrammingLanguage)']",11-50 employees,," Palo Alto, CA",6 days ago
"Software Development Engineer, FinTech Tax",Amazon ,,Full-time,On-site,"['AmazonWebServices(AWS)', 'C#', 'CodeReview', 'CodingSt', 'ards', 'Java', 'JavaScript', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)']","10,001+ employees ", Software Development," Dallas, TX Reposted  2 weeks ago",2 weeks ago
Entry level computer engineer,Revature ,,Full-time,On-site,"['AngularJS', 'C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'HTML', 'Java', 'JavaScript', 'Node.js', 'React.js']","1,001-5,000 employees ", IT Services and IT Consulting," Oakland Park, FL",6 days ago
2024 Summer Intern Software Engineer - PCM,Professional Diversity Network ,,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Communication', 'CriticalThinking', 'DefiningRequirements', 'QualityReviews', 'TechnicalRequirements']",51-200 employees , Staffing and Recruiting," Richardson, TX",13 hours ago
Lead Software Engineer,Understanding Recruitment ,,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Blockchain', 'DockerProducts', 'FinTech', 'Finance', 'GraphQL', 'JavaScript', 'Node.js', 'React.js', 'TypeScript']",51-200 employees , Staffing and Recruiting, New York City Metropolitan Area,3 weeks ago
"Alibaba Group-System Engineer, Machine Learning-Sunnyvale",Alibaba Group ,,Full-time,On-site,"['Algorithms', 'ArtificialIntelligence(AI)', 'Compensation', 'ComputerScience', 'DistributedTraining', 'MachineLearning', 'MachineTools', 'ModelTraining', 'Self-Motivation', 'Troubleshooting']","10,001+ employees ", Software Development," Sunnyvale, CA",6 days ago
Systems Security Engineer,Bosch USA ,,Full-time,Hybrid,"['ApplicationSecurity', 'ComputerScience', 'Cryptography', 'Cybersecurity', 'Identity', 'AccessManagement(IAM)', 'NetworkSecurity', 'PenetrationTesting', 'RedHatLinux', 'SkillDevelopment', 'SystemAdministration']","10,001+ employees ", Software Development," Watertown, MA",6 days ago
Software Engineer Intern,Garmin ,,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'DataStructures', 'Debuggers', 'Garmin', 'Java', 'Methodology', 'ObjectOrientedDesign', 'Object-OrientedProgramming(OOP)']","10,001+ employees ", Consumer Electronics," Yarmouth, ME Reposted  5 days ago",5 days ago
Software Engineer - Summer Intern,Datadog ,"$100,000/yr (from job description) ",Full-time,Hybrid,"['Engineering', 'SoftwareDevelopment', 'SoftwareasaService(SaaS)']","1,001-5,000 employees ", Software Development," Boston, MA",1 month ago
Embedded Software Engineer Intern,Cadence Design Systems ,,Full-time,Hybrid,"['ComputerArchitecture', 'ComputerEngineering', 'ComputerVision', 'Demonstration', 'EmbeddedSystems', 'Field-ProgrammableGateArrays(FPGA)', 'ImageProcessing', 'MachineTools', 'NeuralNetworks', 'PatternRecognition']","5,001-10,000 employees ", Software Development," San Jose, CA",1 day ago
Software Engineer,Prodigy Resources ,"$100,000/yr - $130,000/yr ",Full-time,Hybrid,[],11-50 employees , Staffing and Recruiting," Denver, CO",1 week ago
Data Engineer,NationsBenefits ,,Full-time,On-site,"['DataEngineering', 'DataModeling', 'DataModels', 'DataVisualization', 'DataWarehousing', 'ETLTools', 'Extract', 'Transform', 'Load(ETL)']","1,001-5,000 employees ", Government Administration," Plantation, FL",6 days ago
Web Engineer,Accentuate Staffing ,,Full-time,On-site,"['Bitbucket', 'C#', 'C++', 'ComputerScience', 'DataStructures', 'Java', 'JavaScript', 'NetworkProgramming', 'Python(ProgrammingLanguage)', 'VersionControl']",11-50 employees , Staffing and Recruiting," Raleigh, NC",6 days ago
Software Development Engineer - Applications [DEPT: Pismo Eng US],Apple ,"$138,900/yr - $208,300/yr (from job description) ",Full-time,On-site,"['C++', 'Compensation', 'ContinuousIntegration(CI)', 'DataModeling', 'DefiningRequirements', 'MobilePayments', 'Modeling', 'ProductService', 'SystemPerformance', 'TestAutomation']","10,001+ employees ", Computers and Electronics Manufacturing," New York, NY Reposted  1 week ago",1 week ago
Full Stack Engineer,Hedge Fund ,"$160,000/yr - $175,000/yr ",Full-time,On-site,"['Angular', 'AttentiontoDetail', 'Communication', 'JavaScript', 'Object-OrientedProgramming(OOP)', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'React.js', 'Windows', 'Wireframing']",,," New York, NY",6 days ago
Software Engineer - Intern,Lockheed Martin ,,Full-time,Hybrid,"['ComputerTechnology', 'Engineering', 'Java', 'JavaScript', 'JavaScriptFrameworks', 'MongoDB', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'SoftwareDesign', 'UserRequirements']","10,001+ employees ", Defense and Space Manufacturing," King of Prussia, PA",3 weeks ago
2024 Intern - Software Engineer,Adobe ,,Full-time,On-site,"['C++', 'Communication', 'Debugging', 'DefiningRequirements', 'Java', 'JavaScript', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Software Development," New York, NY Reposted  2 weeks ago",2 weeks ago
"Software Engineer, Intern - Summer 2024",Visa ,,Full-time,On-site,"['C#', 'Communication', 'DefiningRequirements', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'QualityAssurance', 'RepresentationalStateTransfer(REST)', 'RootCause', 'RootCauseAnalysis', 'TestAutomationTools']","10,001+ employees ", IT Services and IT Consulting," Austin, TX Reposted  1 week ago",1 week ago
Java Software Engineer,KPG99 INC ,,Full-time,On-site,[],51-200 employees , IT Services and IT Consulting," West Des Moines, IA",8 hours ago
Quality Assurance Automation Engineer,Numeric Technologies ,,Full-time,Remote,"['JavaScript', 'Jenkins', 'ManualTesting', 'Node.js', 'ProductQuality', 'QualityAssurance', 'TestPlanning', 'TestProcesses', 'TestScripts', 'TypeScript']","1,001-5,000 employees ", Information Technology & Services," California, United States",6 days ago
